source_db,title,authors,year,venue,doi,url,abstract,publisher,retrieved_via
Other (via OpenAlex),Explainable Artificial Intelligence for Telecommunications,Ahmad Terra,2026,Diva portal (Dalarna University Library),,https://openalex.org/W7124236612,"Artificial Intelligence (AI) is a key driver of technological development in many industrial sectors. It is being embedded into many components of telecommunications networks to optimize their functionality in various ways. AI technologies are advancing rapidly, with increasingly sophisticated techniques being introduced. Therefore, understanding how an AI model operates and arrives at its output is crucial to ensure the integrity of the overall system. One way to achieve this is by applying Explainable Artificial Intelligence (XAI) techniques to generate information about the operation of an AI model. This thesis develops and evaluates XAI techniques to improve the transparency of AI models. In supervised learning, several XAI methods that compute feature importance were applied to identify the root cause of network operation issues. Their characteristics were compared and analyzed for local, cohort, and global scopes. However, the generated attributive explanations do not provide actionable insight to resolve the underlying issue. Therefore, another type of explanation, namely counterfactual, was explored during the study. This type of explanation indicates the changes necessary to obtain a different result. Counterfactual explanations were utilized to prevent potential issues such as Service Level Agreement (SLA) violations from occurring. This method was shown to significantly reduce SLA violations in an emulated network, but requires explanation-to-action conversion. Unlike the previous method, a Reinforcement Learning (RL) agent can perform an action in its environment to achieve its goal, eliminating the need for explanation-to-action conversion. Therefore, understanding its behavior becomes important, especially when it controls a critical infrastructure. In this thesis, two state-of-the-art Explainable Reinforcement Learning (XRL) methods, namely reward decomposition and Autonomous Policy Explanation (APE), were investigated and implemented to generate explanations for different users, technical and non-technical, respectively. While the reward decomposition explains the output of a model and the feature attribution explains the input, the connection between them was missing in the literature. In this thesis, the combination of feature importance and reward decomposition methods was proposed to generate detailed explanations as well as to identify and mitigate bias in the AI models. In addition, a detailed contrastive explanation can be generated to explain why an action is preferred over another. For non-technical users, APE was integrated with the attribution method to generate explanations for a certain condition. APE was also integrated with a counterfactual method to generate a meaningful explanation. However, APE has a limitation in scaling up with the number of predicates. Therefore, an alternative textual explainer, namely Clustering-Based Summarizer (CBS), was proposed to address this limitation. The evaluation of textual explanations is limited in the literature. Therefore, a rule extraction technique was proposed to evaluate textual explanations based on their characteristics, fidelity, and performance. In addition, two refinement techniques were proposed to improve the F1 score and reduce the number of duplicate conditions. In summary, this thesis has developed the following contributions: a) implementation and analysis of different XAI methods; b) methods to utilize explanations and explainers; c) evaluation methods for AI explanations; and d) methods to improve explanation quality. This thesis revolves around network automation in the telecommunications field. The explainability methods for supervised learning were applied to a network slice assurance use case, and for reinforcement learning, it was applied to a network optimization use case (namely, Remote Electrical Tilt (RET)). In addition, applications in other open-source environments were also presented, showing broader applications in different use cases.",,openalex_api
ACM Digital Library (via OpenAlex),Explainable Reinforcement Learning: A Survey and Comparative Review,Stephanie Milani; Nicholay Topin; Manuela Veloso; Fei Fang,2023,ACM Computing Surveys,10.1145/3616864,https://openalex.org/W4386193536,"Explainable reinforcement learning (XRL) is an emerging subfield of explainable machine learning that has attracted considerable attention in recent years. The goal of XRL is to elucidate the decision-making process of reinforcement learning (RL) agents in sequential decision-making settings. Equipped with this information, practitioners can better understand important questions about RL agents (especially those deployed in the real world), such as what the agents will do and why. Despite increased interest, there exists a gap in the literature for organizing the plethora of papers—especially in a way that centers the sequential decision-making nature of the problem. In this survey, we propose a novel taxonomy for organizing the XRL literature that prioritizes the RL setting. We propose three high-level categories: feature importance, learning process and Markov decision process, and policy-level. We overview techniques according to this taxonomy, highlighting challenges and opportunities for future work. We conclude by using these gaps to motivate and outline a roadmap for future work.",Association for Computing Machinery,openalex_api
arXiv,Causal State Distillation for Explainable Reinforcement Learning,Wenhao Lu; Xufeng Zhao; Thilo Fryen; Jae Hee Lee; Mengdi Li; Sven Magg; Stefan Wermter,2023,arXiv (Cornell University),10.48550/arxiv.2401.00104,https://openalex.org/W4390529028,"Reinforcement learning (RL) is a powerful technique for training intelligent agents, but understanding why these agents make specific decisions can be quite challenging. This lack of transparency in RL models has been a long-standing problem, making it difficult for users to grasp the reasons behind an agent's behaviour. Various approaches have been explored to address this problem, with one promising avenue being reward decomposition (RD). RD is appealing as it sidesteps some of the concerns associated with other methods that attempt to rationalize an agent's behaviour in a post-hoc manner. RD works by exposing various facets of the rewards that contribute to the agent's objectives during training. However, RD alone has limitations as it primarily offers insights based on sub-rewards and does not delve into the intricate cause-and-effect relationships that occur within an RL agent's neural model. In this paper, we present an extension of RD that goes beyond sub-rewards to provide more informative explanations. Our approach is centred on a causal learning framework that leverages information-theoretic measures for explanation objectives that encourage three crucial properties of causal factors: causal sufficiency, sparseness, and orthogonality. These properties help us distill the cause-and-effect relationships between the agent's states and actions or rewards, allowing for a deeper understanding of its decision-making processes. Our framework is designed to generate local explanations and can be applied to a wide range of RL tasks with multiple reward channels. Through a series of experiments, we demonstrate that our approach offers more meaningful and insightful explanations for the agent's action selections.",Cornell University,openalex_api
Other (via OpenAlex),EXPLAINABLE REINFORCEMENT LEARNING FOR TRANSPARENT AUTONOMOUS DECISION SYSTEMS,Miruthula G,2026,,10.22541/au.177222571.15877912/v1,https://openalex.org/W7131904150,"Reinforcement Learning (RL) enables autonomous agents to learn optimal decision-making methods through their continuous interactions with changing environments. RL-based systems are widely used in fields including robotics and intelligent transportation and smart grid management and healthcare automation and industrial control systems. Most reinforcement learning models operate as black-box systems which identify actions without providing any explanation about their decision-making process. The lack of transparency results in decreased human trust toward autonomous systems while creating security risks and responsibility issues which impact critical autonomous systems. To solve this problem the paper introduces an Explainable Reinforcement Learning XRL system which improves visibility for autonomous decision-making processes. The proposed framework extends standard reinforcement learning systems through its additional explanation generation module which explains system activities by analysing state importance and reward assessment. The system generates understandable explanations for every automated decision by examining state-action value distributions and assessment of policy confidence levels. The system includes attention-based state highlighting and reward decomposition analysis as visual tools to explain decision-making processes. The system uses transparency-aware evaluation metrics to measure three aspects of system performance which are interpretability, explanation consistency, and user trust. The framework operates in a simulated autonomous navigation environment which enables performance testing through comparisons to standard RL implementations. The XRL model provides equivalent reward results to existing solutions yet it boosts interpretability and decision-making understanding without requiring extra computing resources. The results demonstrate that explainability should become a fundamental component of reinforcement learning development to establish dependable and accountable autonomous systems. The proposed approach establishes a connection between advanced learning systems and decision-making methods which humans can comprehend. The research team plans to create two new research paths which involve extending existing frameworks to deep reinforcement learning systems and testing them in safety-critical environments",,openalex_api
arXiv,XRL-Bench: A Benchmark for Evaluating and Comparing Explainable Reinforcement Learning Techniques,Yu Xiong; Zhipeng Hu; Ye Huang; Runze Wu; Kai Guan; Xingchen Fang; Ji Hai Jiang; Tianze Zhou; Yujing Hu; Haoyu Liu; Tangjie Lyu; Changjie Fan,2024,arXiv (Cornell University),10.48550/arxiv.2402.12685,https://openalex.org/W4392019921,"Reinforcement Learning (RL) has demonstrated substantial potential across diverse fields, yet understanding its decision-making process, especially in real-world scenarios where rationality and safety are paramount, is an ongoing challenge. This paper delves in to Explainable RL (XRL), a subfield of Explainable AI (XAI) aimed at unravelling the complexities of RL models. Our focus rests on state-explaining techniques, a crucial subset within XRL methods, as they reveal the underlying factors influencing an agent's actions at any given time. Despite their significant role, the lack of a unified evaluation framework hinders assessment of their accuracy and effectiveness. To address this, we introduce XRL-Bench, a unified standardized benchmark tailored for the evaluation and comparison of XRL methods, encompassing three main modules: standard RL environments, explainers based on state importance, and standard evaluators. XRL-Bench supports both tabular and image data for state explanation. We also propose TabularSHAP, an innovative and competitive XRL method. We demonstrate the practical utility of TabularSHAP in real-world online gaming services and offer an open-source benchmark platform for the straightforward implementation and evaluation of XRL methods. Our contributions facilitate the continued progression of XRL technology.",Cornell University,openalex_api
Other (via OpenAlex),DreamerVFD: Generating Interpretable Plans With Model-Based Reinforcement Learning and Value Function Decomposition,John R. McCarroll; Joseph Saurine; Nathaniel Hamilton; Kyle Dunlap; Kerianne L. Hobbs,2026,,10.2514/6.2026-0348,https://openalex.org/W7125923330,"Despite the success of Deep Reinforcement Learning (DRL) in high dimensional control tasks, lack of model transparency and performance guarantees limit their applicability to real-world, safety-critical tasks, such as satellite operations. DRL agents are ""black box"" models, meaning that their size and complexity render them impossible for humans to interpret. Proper calibration of trust for uninterpretable DRL agents is a major hurdle for safe and successful deployment of DRL agents in satellite operations. Explainable Reinforcement Learning is a growing subfield of Reinforcement Learning (RL) that focuses on generating human-interpretable explanations for the behavior of black box DRL agents. Although methods such as saliency maps, attention visualization, interpretable surrogate models, value function decomposition (VFD), and policy summarization have made progress toward the goal of increasing human-RL alignment, most applications of these techniques focus on subjective, post hoc analysis of a DRL agent's behavior. If these explanations could be generated before the agent carries out its desired action, human operators would have the opportunity to review, validate, and even amend the agent's plan of action. This research introduces DreamerVFD, a novel DRL approach exploring the application of VFD and Model Predictive Control planning to the Model-Based Reinforcement Learning algorithm DreamerV3. The explicit visualization of an agent's plan alongside its value network's decomposed predictions, which carry task-specific semantic meaning, serve as ad hoc, pre-action explanations. This work evaluates the performance, sample efficiency, and generalizability of two variations of planning algorithms applied to a value function decomposed version of DreamerV3 and the accuracy of the interpretable plans these algorithms generate in a set of satellite control tasks. The results from these experiments show that DreamerVFD with Cross-Entropy Method planning outperforms other algorithms in simulated satellite operations by achieving higher or comparable success rates and rewards while reducing collisions by an order of magnitude. DreamerVFD with Cross-Entropy Method planning demonstrated a significant advantage in zero-shot generalization to satellite control tasks with altered reward functions. Further analysis revealed that compounding prediction error during planning varies depending on the environment and limits the accuracy of generated explanations.",,openalex_api
ACM Digital Library (via OpenAlex),Explainable Reinforcement Learning: A Survey and Comparative Review,Stephanie Milani; Nicholay Topin; Manuela Veloso; Fei Fang,2023,ACM Computing Surveys,10.1145/3616864,https://openalex.org/W4386193536,"Explainable reinforcement learning (XRL) is an emerging subfield of explainable machine learning that has attracted considerable attention in recent years. The goal of XRL is to elucidate the decision-making process of reinforcement learning (RL) agents in sequential decision-making settings. Equipped with this information, practitioners can better understand important questions about RL agents (especially those deployed in the real world), such as what the agents will do and why. Despite increased interest, there exists a gap in the literature for organizing the plethora of papers—especially in a way that centers the sequential decision-making nature of the problem. In this survey, we propose a novel taxonomy for organizing the XRL literature that prioritizes the RL setting. We propose three high-level categories: feature importance, learning process and Markov decision process, and policy-level. We overview techniques according to this taxonomy, highlighting challenges and opportunities for future work. We conclude by using these gaps to motivate and outline a roadmap for future work.",Association for Computing Machinery,openalex_api
SpringerLink (via OpenAlex),Explainable reinforcement learning (XRL): a systematic literature review and taxonomy,Yanzhe Bekkemoen,2023,Machine Learning,10.1007/s10994-023-06479-7,https://openalex.org/W4389131286,"Abstract In recent years, reinforcement learning (RL) systems have shown impressive performance and remarkable achievements. Many achievements can be attributed to combining RL with deep learning. However, those systems lack explainability, which refers to our understanding of the system’s decision-making process. In response to this challenge, the new explainable RL (XRL) field has emerged and grown rapidly to help us understand RL systems. This systematic literature review aims to give a unified view of the field by reviewing ten existing XRL literature reviews and 189 XRL studies from the past five years. Furthermore, we seek to organize these studies into a new taxonomy, discuss each area in detail, and draw connections between methods and stakeholder questions (e.g., “how can I get the agent to do _?”). Finally, we look at the research trends in XRL, recommend XRL methods, and present some exciting research directions for future research. We hope stakeholders, such as RL researchers and practitioners, will utilize this literature review as a comprehensive resource to overview existing state-of-the-art XRL methods. Additionally, we strive to help find research gaps and quickly identify methods that answer stakeholder questions.",Springer Science+Business Media,openalex_api
SpringerLink (via OpenAlex),A systematic review of human-centered explainability in reinforcement learning: transferring the RCC framework to support epistemic trustworthiness,Maximilian Moll; John Dorsch,2025,Human-Intelligent Systems Integration,10.1007/s42454-025-00084-w,https://openalex.org/W4414756490,"Abstract This paper presents a systematic review of explainable reinforcement learning methodologies with an emphasis on human-centered evaluation frameworks. Drawing from literature between 2017 and 2025, we apply and extend the Reasons, Confidence, and Counterfactuals (RCC) framework—originally designed for supervised learning—to reinforcement learning contexts. Our analysis reveals two predominant explanatory strategies: constructive, where explicit explanations are generated, and supportive, where users must infer reasoning from provided visual or textual cues. Our review also emphasizes human factor considerations, like task complexity, explanation formats, and evaluation methodologies. Particularly, for the latter, our analysis shows that improvement of the quality of decision is rarely measured.",Springer Science+Business Media,openalex_api
arXiv,Causal State Distillation for Explainable Reinforcement Learning,Wenhao Lu; Xufeng Zhao; Thilo Fryen; Jae Hee Lee; Mengdi Li; Sven Magg; Stefan Wermter,2023,arXiv (Cornell University),10.48550/arxiv.2401.00104,https://openalex.org/W4390529028,"Reinforcement learning (RL) is a powerful technique for training intelligent agents, but understanding why these agents make specific decisions can be quite challenging. This lack of transparency in RL models has been a long-standing problem, making it difficult for users to grasp the reasons behind an agent's behaviour. Various approaches have been explored to address this problem, with one promising avenue being reward decomposition (RD). RD is appealing as it sidesteps some of the concerns associated with other methods that attempt to rationalize an agent's behaviour in a post-hoc manner. RD works by exposing various facets of the rewards that contribute to the agent's objectives during training. However, RD alone has limitations as it primarily offers insights based on sub-rewards and does not delve into the intricate cause-and-effect relationships that occur within an RL agent's neural model. In this paper, we present an extension of RD that goes beyond sub-rewards to provide more informative explanations. Our approach is centred on a causal learning framework that leverages information-theoretic measures for explanation objectives that encourage three crucial properties of causal factors: causal sufficiency, sparseness, and orthogonality. These properties help us distill the cause-and-effect relationships between the agent's states and actions or rewards, allowing for a deeper understanding of its decision-making processes. Our framework is designed to generate local explanations and can be applied to a wide range of RL tasks with multiple reward channels. Through a series of experiments, we demonstrate that our approach offers more meaningful and insightful explanations for the agent's action selections.",Cornell University,openalex_api
Other (via OpenAlex),Behavior Discovery and Attribution for Explainable Reinforcement Learning,Rishav Rishav,2026,Open MIND,10.11575/prism/51195,https://openalex.org/W7140284977,"Building trust in reinforcement learning (RL) agents requires understanding why they make certain decisions, especially in high-stakes applications like robotics, healthcare, and finance. As RL systems are increasingly deployed in real-world settings, the needfor interpretable explanations of agent behavior becomes critical for debugging, verification, and human oversight. Existing explainability methods often focus on single states or entire trajectories, either providing only local, step-wise insights or attributing decisions to coarse, episode-level summaries. Both approaches miss the recurring strategies and temporally extended patterns that actually drive agent behavior across multiple decisions. State-level explanations fail to capture the broader context of why an agent follows a particular strategy, while trajectory-level explanations cannot pinpoint which specific behavioral pattern is responsible for a given action. This thesis addresses this gap by proposing a fully offline, reward-free framework for behavior discovery and segmentation, enabling the attribution of actions to meaningful and interpretable behavior segments that capture recurring patterns appearing across multiple trajectories. The approach consists of three stages: (1) a transformer-based Vector Quantized Variational Autoencoder (VQ-VAE) that discretizes state-action sequences into a learned codebook of latent representations, (2) a graph-based spectral clustering algorithm that segments these discrete codes into coherent behavior clusters based on both transition frequency and latent similarity, and (3) behavior cloning models trained on each cluster that enable fine-grained attribution of individual actions to discovered behaviors. I evaluate the framework on four diverse offline RL environments spanning continuous control (HalfCheetah, Pen manipulation), discrete navigation (MiniGrid), and visual domains (Seaquest). Quantitative evaluations demonstrate that the approach discovers semantically meaningful behaviors and outperforms trajectory-level baselines in Average Fidelity Score, measuring how well attributed behaviors predict agent actions. A human study with 15 participants shows that users prefer behavior-based explanations over trajectory retrieval methods and can consistently interpret the discovered clusters. Ablation studies validate the importance of the hybrid graph weighting scheme and the choice of codebook size. The code is publicly available.",,openalex_api
